Jurisdiction,Cases2019,Cases2020,Cases2021,Cases2022,Incidence2019,Incidence2020,Incidence2021,Incidence2022
,,,,,,,,
Alabama,87,72,91,66,1.8,1.4,1.8,1.3
Alaska,58,58,58,96,7.9,7.9,7.9,13.1
Arizona,183,136,129,154,2.5,1.9,1.8,2.1
Arkansas,64,59,69,69,2.1,2.0,2.3,2.3
California,"2,110","1,703","1,749","1,843",5.4,4.3,4.5,4.7
Colorado,66,52,58,57,1.1,0.9,1.0,1.0
Connecticut,67,54,54,67,1.9,1.5,1.5,1.8
Delaware,19,17,41,13,1.9,1.7,4.1,1.3
District of Columbia,24,19,18,15,3.4,2.8,2.7,2.2
Florida,558,412,500,536,2.6,1.9,2.3,2.4
Georgia,302,220,222,256,2.8,2.1,2.1,2.3
Hawaii,99,92,106,101,7.0,6.3,7.3,7.0
Idaho,7,8,5,11,0.4,0.4,0.3,0.6
Illinois,326,216,254,298,2.6,1.7,2.0,2.4
Indiana,108,92,127,99,1.6,1.4,1.9,1.4
Iowa,52,39,49,60,1.6,1.2,1.5,1.9
Kansas,37,37,43,52,1.3,1.3,1.5,1.8
Kentucky,65,66,57,70,1.5,1.5,1.3,1.6
Louisiana,88,99,86,89,1.9,2.1,1.9,1.9
Maine,18,17,14,20,1.3,1.2,1.0,1.4
Maryland,209,149,197,152,3.5,2.4,3.2,2.5
Massachusetts,178,142,151,153,2.6,2.0,2.2,2.2
Michigan,131,101,137,120,1.3,1.0,1.4,1.2
Minnesota,148,117,134,132,2.6,2.0,2.3,2.3
Mississippi,57,43,46,54,1.9,1.5,1.6,1.8
Missouri,70,79,77,69,1.1,1.3,1.2,1.1
Montana,2,4,3,6,0.2,0.4,0.3,0.5
Nebraska,17,33,22,28,0.9,1.7,1.1,1.4
Nevada,53,57,61,62,1.7,1.8,1.9,2.0
New Hampshire,6,12,12,11,0.4,0.9,0.9,0.8
New Jersey,309,245,289,286,3.5,2.6,3.1,3.1
New Mexico,41,29,24,30,2.0,1.4,1.1,1.4
New York,746,605,683,714,3.8,3.0,3.4,3.6
North Carolina,185,159,178,163,1.8,1.5,1.7,1.5
North Dakota,18,10,15,5,2.4,1.3,1.9,0.6
Ohio,149,132,151,148,1.3,1.1,1.3,1.3
Oklahoma,73,67,69,80,1.8,1.7,1.7,2.0
Oregon,70,67,79,70,1.7,1.6,1.9,1.7
Pennsylvania,198,157,166,173,1.5,1.2,1.3,1.3
Rhode Island,14,7,17,17,1.3,0.6,1.5,1.6
South Carolina,80,67,87,101,1.6,1.3,1.7,1.9
South Dakota,16,16,12,10,1.8,1.8,1.3,1.1
Tennessee,129,113,84,107,1.9,1.6,1.2,1.5
Texas,"1,154",879,996,"1,089",4.0,3.0,3.4,3.6
Utah,27,29,17,33,0.8,0.9,0.5,1.0
Vermont,4,3,3,3,0.6,0.5,0.5,0.5
Virginia,191,169,160,195,2.2,2.0,1.8,2.2
Washington,221,163,199,253,2.9,2.1,2.6,3.2
West Virginia,9,13,6,11,0.5,0.7,0.3,0.6
Wisconsin,51,35,66,52,0.9,0.6,1.1,0.9
Wyoming,1,0,3,1,0.2,0,0.5,0.2
Total,"8,895","7,170","7,874","8,300",2.7,2.2,2.4,2.5
