Origin,Destination,Population,Cases2021,Incidence2021
Autauga County,Alabama,2036,91,1.8
Baldwin County,Alabama,4320,91,1.8
Barbour County,Alabama,1129,91,1.8
Bibb County,Alabama,1669,91,1.8
Blount County,Alabama,1807,91,1.8
Bullock County,Alabama,213,91,1.8
Butler County,Alabama,309,91,1.8
Calhoun County,Alabama,3443,91,1.8
Chambers County,Alabama,724,91,1.8
Cherokee County,Alabama,1066,91,1.8
Chilton County,Alabama,1106,91,1.8
Choctaw County,Alabama,162,91,1.8
Clarke County,Alabama,153,91,1.8
Clay County,Alabama,237,91,1.8
Cleburne County,Alabama,573,91,1.8
Coffee County,Alabama,1744,91,1.8
Colbert County,Alabama,1383,91,1.8
Conecuh County,Alabama,228,91,1.8
Coosa County,Alabama,484,91,1.8
Covington County,Alabama,535,91,1.8
Crenshaw County,Alabama,532,91,1.8
Cullman County,Alabama,2621,91,1.8
Dale County,Alabama,2058,91,1.8
Dallas County,Alabama,898,91,1.8
DeKalb County,Alabama,1594,91,1.8
Elmore County,Alabama,4687,91,1.8
Escambia County,Alabama,509,91,1.8
Etowah County,Alabama,3155,91,1.8
Fayette County,Alabama,873,91,1.8
Franklin County,Alabama,262,91,1.8
Geneva County,Alabama,732,91,1.8
Greene County,Alabama,23,91,1.8
Hale County,Alabama,614,91,1.8
Henry County,Alabama,384,91,1.8
Houston County,Alabama,2031,91,1.8
Jackson County,Alabama,697,91,1.8
Jefferson County,Alabama,16326,91,1.8
Lamar County,Alabama,144,91,1.8
Lauderdale County,Alabama,4866,91,1.8
Lawrence County,Alabama,1192,91,1.8
Lee County,Alabama,7378,91,1.8
Limestone County,Alabama,5029,91,1.8
Lowndes County,Alabama,212,91,1.8
Macon County,Alabama,532,91,1.8
Madison County,Alabama,9317,91,1.8
Marengo County,Alabama,425,91,1.8
Marion County,Alabama,747,91,1.8
Marshall County,Alabama,2625,91,1.8
Mobile County,Alabama,4272,91,1.8
Monroe County,Alabama,296,91,1.8
Montgomery County,Alabama,7008,91,1.8
Morgan County,Alabama,3297,91,1.8
Perry County,Alabama,315,91,1.8
Pickens County,Alabama,514,91,1.8
Pike County,Alabama,1783,91,1.8
Randolph County,Alabama,891,91,1.8
Russell County,Alabama,1324,91,1.8
St. Clair County,Alabama,3516,91,1.8
Shelby County,Alabama,10502,91,1.8
Sumter County,Alabama,751,91,1.8
Talladega County,Alabama,2898,91,1.8
Tallapoosa County,Alabama,1938,91,1.8
Tuscaloosa County,Alabama,7800,91,1.8
Walker County,Alabama,2740,91,1.8
Washington County,Alabama,601,91,1.8
Wilcox County,Alabama,478,91,1.8
Winston County,Alabama,970,91,1.8
Aleutians East Borough,Alabama,1,91,1.8
Anchorage Municipality,Alabama,163,91,1.8
Bethel Census Area,Alabama,3,91,1.8
Chugach Census Area,Alabama,157,91,1.8
Fairbanks North Star Borough,Alabama,249,91,1.8
Juneau City and Borough,Alabama,9,91,1.8
Kenai Peninsula Borough,Alabama,2,91,1.8
Ketchikan Gateway Borough,Alabama,11,91,1.8
Matanuska-Susitna Borough,Alabama,10,91,1.8
North Slope Borough,Alabama,1,91,1.8
Southeast Fairbanks Census Area,Alabama,33,91,1.8
Yukon-Koyukuk Census Area,Alabama,8,91,1.8
Apache County,Alabama,5,91,1.8
Cochise County,Alabama,45,91,1.8
Maricopa County,Alabama,835,91,1.8
Mohave County,Alabama,141,91,1.8
Pima County,Alabama,452,91,1.8
Pinal County,Alabama,27,91,1.8
Yuma County,Alabama,54,91,1.8
Ashley County,Alabama,11,91,1.8
Benton County,Alabama,136,91,1.8
Bradley County,Alabama,10,91,1.8
Clark County,Alabama,5,91,1.8
Craighead County,Alabama,6,91,1.8
Crittenden County,Alabama,4,91,1.8
Faulkner County,Alabama,10,91,1.8
Franklin County,Alabama,6,91,1.8
Grant County,Alabama,27,91,1.8
Greene County,Alabama,22,91,1.8
Hempstead County,Alabama,4,91,1.8
Jefferson County,Alabama,14,91,1.8
Lawrence County,Alabama,2,91,1.8
Lee County,Alabama,1,91,1.8
Lincoln County,Alabama,9,91,1.8
Lonoke County,Alabama,18,91,1.8
Miller County,Alabama,40,91,1.8
Mississippi County,Alabama,12,91,1.8
Pike County,Alabama,16,91,1.8
Pulaski County,Alabama,85,91,1.8
Randolph County,Alabama,1,91,1.8
St. Francis County,Alabama,11,91,1.8
Saline County,Alabama,41,91,1.8
Searcy County,Alabama,3,91,1.8
Sebastian County,Alabama,34,91,1.8
Union County,Alabama,11,91,1.8
Van Buren County,Alabama,4,91,1.8
Washington County,Alabama,31,91,1.8
White County,Alabama,89,91,1.8
Alameda County,Alabama,63,91,1.8
Contra Costa County,Alabama,5,91,1.8
Fresno County,Alabama,55,91,1.8
Humboldt County,Alabama,8,91,1.8
Imperial County,Alabama,2,91,1.8
Kern County,Alabama,104,91,1.8
Kings County,Alabama,1,91,1.8
Lassen County,Alabama,5,91,1.8
Los Angeles County,Alabama,752,91,1.8
Marin County,Alabama,20,91,1.8
Monterey County,Alabama,25,91,1.8
Napa County,Alabama,15,91,1.8
Nevada County,Alabama,2,91,1.8
Orange County,Alabama,198,91,1.8
Placer County,Alabama,249,91,1.8
Riverside County,Alabama,146,91,1.8
Sacramento County,Alabama,325,91,1.8
San Benito County,Alabama,1,91,1.8
San Bernardino County,Alabama,236,91,1.8
San Diego County,Alabama,268,91,1.8
San Francisco County,Alabama,67,91,1.8
San Joaquin County,Alabama,88,91,1.8
San Mateo County,Alabama,61,91,1.8
Santa Barbara County,Alabama,42,91,1.8
Santa Clara County,Alabama,291,91,1.8
Santa Cruz County,Alabama,8,91,1.8
Shasta County,Alabama,21,91,1.8
Solano County,Alabama,44,91,1.8
Sonoma County,Alabama,35,91,1.8
Stanislaus County,Alabama,8,91,1.8
Tehama County,Alabama,65,91,1.8
Tulare County,Alabama,38,91,1.8
Ventura County,Alabama,173,91,1.8
Yuba County,Alabama,36,91,1.8
Adams County,Alabama,32,91,1.8
Arapahoe County,Alabama,309,91,1.8
Boulder County,Alabama,78,91,1.8
Broomfield County,Alabama,13,91,1.8
Denver County,Alabama,361,91,1.8
Douglas County,Alabama,27,91,1.8
El Paso County,Alabama,1202,91,1.8
Gunnison County,Alabama,12,91,1.8
Jefferson County,Alabama,451,91,1.8
Larimer County,Alabama,137,91,1.8
Logan County,Alabama,18,91,1.8
Morgan County,Alabama,218,91,1.8
Pueblo County,Alabama,6,91,1.8
Saguache County,Alabama,3,91,1.8
Weld County,Alabama,19,91,1.8
Fairfield County,Alabama,113,91,1.8
Hartford County,Alabama,59,91,1.8
Litchfield County,Alabama,22,91,1.8
Middlesex County,Alabama,12,91,1.8
New Haven County,Alabama,33,91,1.8
New London County,Alabama,50,91,1.8
Kent County,Alabama,128,91,1.8
Sussex County,Alabama,6,91,1.8
District of Columbia,Alabama,283,91,1.8
Alachua County,Alabama,252,91,1.8
Baker County,Alabama,18,91,1.8
Bay County,Alabama,1450,91,1.8
Bradford County,Alabama,23,91,1.8
Brevard County,Alabama,362,91,1.8
Broward County,Alabama,658,91,1.8
Calhoun County,Alabama,23,91,1.8
Charlotte County,Alabama,29,91,1.8
Citrus County,Alabama,35,91,1.8
Clay County,Alabama,226,91,1.8
Collier County,Alabama,128,91,1.8
Columbia County,Alabama,5,91,1.8
Duval County,Alabama,483,91,1.8
Escambia County,Alabama,2132,91,1.8
Flagler County,Alabama,119,91,1.8
Franklin County,Alabama,59,91,1.8
Gadsden County,Alabama,4,91,1.8
Gilchrist County,Alabama,60,91,1.8
Gulf County,Alabama,8,91,1.8
Hamilton County,Alabama,2,91,1.8
Hernando County,Alabama,72,91,1.8
Highlands County,Alabama,12,91,1.8
Hillsborough County,Alabama,508,91,1.8
Holmes County,Alabama,103,91,1.8
Indian River County,Alabama,6,91,1.8
Jackson County,Alabama,92,91,1.8
Lake County,Alabama,222,91,1.8
Lee County,Alabama,261,91,1.8
Leon County,Alabama,347,91,1.8
Liberty County,Alabama,4,91,1.8
Madison County,Alabama,21,91,1.8
Manatee County,Alabama,91,91,1.8
Marion County,Alabama,228,91,1.8
Martin County,Alabama,29,91,1.8
Miami-Dade County,Alabama,337,91,1.8
Monroe County,Alabama,84,91,1.8
Okaloosa County,Alabama,750,91,1.8
Okeechobee County,Alabama,32,91,1.8
Orange County,Alabama,1365,91,1.8
Osceola County,Alabama,104,91,1.8
Palm Beach County,Alabama,157,91,1.8
Pasco County,Alabama,86,91,1.8
Pinellas County,Alabama,458,91,1.8
Polk County,Alabama,786,91,1.8
Putnam County,Alabama,5,91,1.8
